season,season_name,episode,gender,castaway_id,castaway,full_name,acknowledge,ack_score,ack_quote_clean
30,Survivor: Worlds Apart,10,Female,US0452,Jenn,Jenn Brown,True,4,"Bye, guys. Good luck. And play nice, alright? i'll see you soon."
30,Survivor: Worlds Apart,11,Female,US0453,Shirin,Shirin Oskooi,True,4,"Bye, guys."
30,Survivor: Worlds Apart,14,Female,US0456,Sierra,Sierra Dawn Thomas,True,4,Sneaky.
30,Survivor: Worlds Apart,14,Male,US0457,Rodney,Rodney Lavoie Jr.,True,3,"Alright, guys."
31,Survivor: Cambodia,1,Male,US0402,Vytas,Vytas Baskauskas,True,4,"No hard feelings, you guys. You played such a great game. It's all good."
31,Survivor: Cambodia,12,Male,US0451,Joe,Joe Anglim,False,0,"Good luck, y'all. Boys: best of luck."
31,Survivor: Cambodia,13,Female,US0383,Abi-Maria,Abi-Maria Gomes,True,3,Well played.
31,Survivor: Cambodia,14,Female,US0021,Kimmi,Kimmi Kappenberg,True,4,Thank you very much for a great game.
31,Survivor: Cambodia,14,Male,US0439,Keith,Keith Nale,True,3,Hang in there.
31,Survivor: Cambodia,14,Female,US0429,Kelley,Kelley Wentworth,True,4,Good luck guys. See you tomorrow.
32,Survivor: Kaoh Rong,1,Male,US0461,Darnell,Darnell Hamilton,True,2,Good game.
32,Survivor: Kaoh Rong,2,Female,US0462,Jennifer,Jennifer Lanzetti,True,4,See you guys. Hope you win lots more challenges.
32,Survivor: Kaoh Rong,3,Female,US0463,Liz,Elisabeth Markham,True,2,Good luck everyone!
32,Survivor: Kaoh Rong,4,Female,US0465,Alecia,Alecia Holden,True,3,Good luck cydney.
32,Survivor: Kaoh Rong,5,Female,US0466,Anna,Anna Khait,True,4,Good luck everyone.
33,Survivor: Millennials vs. Gen X,2,Female,US0480,Mari,Mari Takahashi,True,2,Salty.
33,Survivor: Millennials vs. Gen X,3,Male,US0481,Paul,Paul Wachter,True,3,"Good luck, guys."
33,Survivor: Millennials vs. Gen X,5,Female,US0483,CeCe,Ciandre Taylor,True,2,"Good luck, guys."
33,Survivor: Millennials vs. Gen X,6,Female,US0484,Figgy,Jessica Figueroa,True,2,"Good luck, tays."
33,Survivor: Millennials vs. Gen X,7,Female,US0485,Michaela,Michaela Bradshaw,True,2,"You going to feel like an asshole... My shoes... Damn, jay."
33,Survivor: Millennials vs. Gen X,9,Male,US0487,Taylor,Taylor Lee Stocker,True,3,"Good luck, guys... Sorry for stealing food."
33,Survivor: Millennials vs. Gen X,10,Male,US0488,Chris,Chris Hammons,True,3,Boomer.
33,Survivor: Millennials vs. Gen X,12,Male,US0491,Will,Will Wahl,True,3,I had a blast guys. Good luck to all of you.
